22242,1,30.00
22265,17,1260.00
22905,16,1125.00
22985,1,75.00
23072,15,1245.00
24578,22,1650.00
24712,10,625.00
24776,27,975.00
25015,12,900.00
25259,2,150.00
25275,12,900.00
25312,1,75.00
26312,2,150.00
26370,5,90.00
26732,1,30.00
27454,1,30.00
27545,1,30.00
27555,2,120.00
29810,24,1620.00
29983,4,320.00
30131,3,245.00
30334,3,90.00
31792,20,1305.00
31861,24,1800.00
31895,5,515.00
32019,6,630.00
32097,4,210.00
32956,34,2280.00
33006,2,150.00
33319,44,3300.00
33376,11,930.00
34301,6,270.00
34328,10,390.00
34571,21,1765.00
34577,9,675.00
34654,24,1800.00
34776,3,240.00
34980,1,75.00
35108,2,120.00
35153,2,150.00
35184,4,300.00
35196,1,75.00
35662,1,75.00
35810,6,360.00
36335,1,30.00
36446,1,75.00
36463,3,180.00
36544,1,75.00
36579,5,150.00
36608,2,105.00
36629,24,1530.00
36644,7,420.00
36725,2,150.00
36831,2,150.00
36897,17,795.00
37093,41,3075.00
37128,3,180.00
37325,2,75.00
37345,10,900.00
37370,1,75.00
37499,3,135.00
37544,8,480.00
37642,13,1155.00
37680,12,600.00
37709,19,1425.00
37777,1,60.00
37804,14,1215.00
38404,2,90.00
38455,17,1605.00
38494,22,1650.00
38550,24,1800.00
39080,39,2850.00
43378,6,495.00
43504,4,360.00
43644,39,2790.00
43650,3,225.00
43657,5,375.00
43663,1,45.00
43727,44,3210.00
43729,28,2565.00
45580,14,1110.00
45873,7,435.00
47034,2,120.00
47754,41,2685.00
47927,23,690.00
48325,26,1860.00
48340,1,75.00
48822,27,1620.00
49563,3,285.00
50493,48,3600.00
52591,35,1575.00
54482,25,2250.00
54954,2,120.00
55161,9,750.00
56603,1,75.00
56631,2,60.00
56954,23,1680.00
57177,6,345.00
57462,2,30.00
57470,4,300.00
57705,1,15.00
58371,5,375.00
58458,4,225.00
58954,15,855.00
59016,1,30.00
59858,2,150.00
60226,2,90.00
61456,7,405.00
62216,7,420.00
62243,4,300.00
62411,63,5580.00
62417,18,1080.00
62475,9,845.00
62480,4,300.00
62482,3,225.00
62484,2,150.00
62486,2,180.00
62565,6,180.00
62817,2,150.00
63505,8,600.00
63716,6,450.00
63805,6,585.00
63883,57,3450.00
64127,24,1740.00
64625,22,1980.00
64797,12,510.00
64845,24,360.00
64957,45,2025.00
65076,15,1125.00
65462,6,360.00
65644,6,315.00
65646,13,825.00
65683,3,180.00
65685,51,3825.00
65719,3,315.00
65960,14,210.00
65980,4,260.00
66456,4,90.00
66883,2,180.00
67111,3,75.00
67113,4,240.00
67127,46,4710.00
67196,1,90.00
67258,2,150.00
67329,10,510.00
67458,4,430.00
67855,2,150.00
67926,6,660.00
67934,1,75.00
68311,37,3240.00
68344,19,1095.00
68377,4,300.00
68696,12,900.00
69409,33,495.00
69636,29,1740.00
69648,14,615.00
69770,2,30.00
69776,6,615.00
69836,23,1680.00
69906,11,665.00
70212,6,270.00
70216,4,165.00
70220,4,240.00
70321,5,375.00
70629,2,180.00
70719,3,180.00
70728,2,150.00
71109,1,60.00
72204,9,375.00
72427,4,120.00
72431,1,75.00
72612,21,1575.00
72687,1,75.00
72721,3,195.00
73300,10,900.00
73310,1,45.00
73436,66,4950.00
73438,35,2670.00
73656,18,810.00
73927,5,375.00
74680,8,720.00
74697,45,2475.00
75269,36,3600.00
75335,82,6285.00
75366,3,255.00
75705,51,3735.00
75748,4,300.00
