项目id,项目名称,地址,城市,8月项目下智能屏理论点位数,日期,排片点位数,刊挂总时常
5027864,西城博司(杭州),振华路245号,杭州,85,2019/1/14,85,1275
5027907,富阳贤明府,贤明路1号,杭州,27,2019/1/14,10,150
5027915,正勤创意园,康贤路43号,杭州,10,2019/1/14,8,120
5027942,博京大酒店,广业街100号,杭州,8,2019/1/14,4,60
5028056,森湖中心,康园路15号,杭州,6,2019/1/14,6,90
5028059,中易新能源,长河路1318号,杭州,3,2019/1/14,3,45
5028190,德雅金座,望梅路578号,杭州,3,2019/1/14,2,30
5028191,天城府,石桥路124号,杭州,20,2019/1/14,20,900
5028213,森湖创意园,康惠路16号,杭州,1,2019/1/14,1,15
5028245,龙湖滟澜星座,金沙大道560号,杭州,14,2019/1/14,6,90
5028260,滟澜星街,江干区金沙大道521号,杭州,4,2019/1/14,2,30
5028309,千里马创业园,康贤路37号,杭州,3,2019/1/14,3,45
5028383,富阳宝龙国际社区住宅(公寓),文居街1001号,杭州,21,2019/1/14,21,315
5028421,德信AI产业园,伟业路3号,杭州,118,2019/1/14,89,1335
5028459,2537电商工场产业园,新城路2537号,杭州,6,2019/1/14,1,15
5028531,富阳百合蓝鸟苑,金权路110号,杭州,7,2019/1/14,7,105
5028540,富阳百合景苑,迎宾路21号,杭州,3,2019/1/14,3,45
5028543,富阳凤凰小区,孙权路146号,杭州,12,2019/1/14,12,180
5028548,富阳大润发商贸城,秋月路103号,杭州,2,2019/1/14,2,30
5028549,富阳龙翔秋月苑,秋月路99号,杭州,4,2019/1/14,4,60
5028550,富阳富春江南,大桥南路175号,杭州,12,2019/1/14,12,180
5028737,数字信息产业园二期,西园九路8号,杭州,16,2019/1/14,1,15
5028745,量之苑酒店,万塘路252号,杭州,2,2019/1/14,1,30
5028749,德雅汇丰,望梅路577号,杭州,1,2019/1/14,1,15
5028754,金星桃源居二期,秋悦路466号,杭州,22,2019/1/14,22,330
5028757,富康大厦,拱康路77号,杭州,4,2019/1/14,4,60
5028798,左驿公寓,天都路100号,杭州,3,2019/1/14,2,30
5028816,浙江省家纺产业创新服务综合体,临平大道28号,杭州,2,2019/1/14,2,45
5028820,翡丽大酒店,文二西路726号,杭州,1,2019/1/14,1,15
5029232,协和辉丰大厦,金鸡路2388号,杭州,33,2019/1/14,19,285
5029409,天鸿香榭里,祥运路188号,杭州,20,2019/1/14,20,300
5029433,江南风尚铭楼,利华路633号,杭州,4,2019/1/14,4,60
5029441,丰润家园,博学路100号,杭州,75,2019/1/14,75,1125
5029534,杭州维亚斯酒店,6号大街6-1号,杭州,1,2019/1/14,1,15
5029614,杭州福特产业园区,星发街39号,杭州,1,2019/1/14,1,15
5029706,航坞文化创意园,东灵北路122号,杭州,5,2019/1/14,4,60
5029823,富阳公元名家小区,文教北路937号,杭州,3,2019/1/14,3,45
5029871,富阳浪漫香槟西区,香槟路29号,杭州,5,2019/1/14,5,75
5029872,富阳海陆星光园,桂花西路309号,杭州,10,2019/1/14,5,75
5029893,富阳南北双溪天城,东安路8号,杭州,12,2019/1/14,6,90
5030066,威格汉方园,西南山北路159号,杭州,7,2019/1/14,1,30
5030197,云和雅园,仁河大道644号,杭州,23,2019/1/14,14,420
5030217,景上公寓,和睦路248号,杭州,8,2019/1/14,8,120
5030240,新瑞丰格琳酒店,老浙大横路31号,杭州,2,2019/1/14,2,30
5030334,文三路电子综合楼,文三路408号,杭州,3,2019/1/14,3,45
5030354,金茂大厦_杭州,仁河大道88号,杭州,8,2019/1/14,2,30
5030492,美都良景学府,溪东路47号,杭州,85,2019/1/14,44,660
5030529,富阳水岸青云碧水苑,孙权路231号,杭州,5,2019/1/14,1,15
5030534,富阳杏园小区,中沙路58号,杭州,6,2019/1/14,6,90
5031014,临平万宝城,荷禹路105号,杭州,14,2019/1/14,12,180
5031054,富阳金桥城市花园三期,西环北路东105号,杭州,6,2019/1/14,6,90
5031299,ChicSoho,中豪七格6幢,杭州,36,2019/1/14,7,105
5031496,柚米国际社区(大学城店),4号大街9号,杭州,1,2019/1/14,1,15
5031529,博乐诗服务公寓,下沙南路429号,杭州,7,2019/1/14,3,45
5031687,清合嘉园东区,和平路89号,杭州,16,2019/1/14,12,360
5031712,湖畔公寓,休博路6号,杭州,6,2019/1/14,6,90
5031930,侨司e创园,石塘西路6号,杭州,10,2019/1/14,3,45
5031935,柯力达电商综合产业园,仁和大道50号,杭州,14,2019/1/14,4,120
5032057,西湖区文体中心,晴川街217号,杭州,18,2019/1/14,18,330
5032138,乐天城,五常大道153号,杭州,22,2019/1/14,12,360
5032343,富阳开发大厦,江滨西大道10号,杭州,8,2019/1/14,8,120
5032510,西田城,莫干山路1509号,杭州,43,2019/1/14,8,240
5032531,西田公馆,莫干山路1511号,杭州,13,2019/1/14,4,120
5032550,杭州科茂微电子产业园,红普北路11号,杭州,1,2019/1/14,1,15
5032811,新开元大酒店临平店,世纪大道160号,杭州,1,2019/1/14,1,15
5032848,联合麦田大厦,范家路219号,杭州,3,2019/1/14,3,105
5032867,香溢公寓,滨盛路2880号,杭州,36,2019/1/14,14,210
5032897,聚光中心,阡陌路459号,杭州,11,2019/1/14,11,165
5032906,海亮大厦_杭州,滨盛路1508号,杭州,4,2019/1/14,4,60
5032950,尚坤G11,新风路266号,杭州,10,2019/1/14,10,270
5033765,杭州城市风景,风景街333号,杭州,6,2019/1/14,6,90
5033859,浦京花园酒店,厚诚路283号,杭州,3,2019/1/14,3,45
5033890,东方通信科技园,东信大道66号,杭州,10,2019/1/14,10,150
5033924,丽都酒店杭州店,凤新路299号,杭州,3,2019/1/14,2,30
5034462,炬华智慧产业园,龙舟路6号,杭州,18,2019/1/14,8,165
5034751,浙富亲亲园,阆苑路336号,杭州,22,2019/1/14,16,240
5034781,上林春天_杭州,瑶琳西路77号,杭州,16,2019/1/14,1,15
5034782,泰尚达文化创意园,机场路250号,杭州,2,2019/1/14,2,60
5034909,开元之心颐养园,通惠中路669号,杭州,2,2019/1/14,2,30
5035258,富阳山水国际中心,江城路398号,杭州,3,2019/1/14,3,45
5035801,中豪国际,新塘路672号,杭州,14,2019/1/14,14,360
5035852,东裕华庭,经五路2750,杭州,42,2019/1/14,15,225
5036174,万科泊寓文一路店,丰谭路288号,杭州,1,2019/1/14,1,15
5036452,万科泊寓金海城店,杭海路878号,杭州,1,2019/1/14,1,15
5036457,万科泊寓海港城店,文一西路954号,杭州,4,2019/1/14,2,60
5036459,万科泊寓景方店,钱朝路636号,杭州,2,2019/1/14,2,60
5036536,正泰大厦_杭州,月明路560号,杭州,46,2019/1/14,34,510
363,晶晶大厦,刀茅巷216号,杭州,1,2019/1/21,1,30
365,国都公寓,凤起路361号,杭州,16,2019/1/21,16,240
379,秋涛综合楼,庆春东路35号,杭州,9,2019/1/21,9,405
388,仁和大厦,惠兴路12号,杭州,2,2019/1/21,2,60
397,瑞丰国际商务大厦,中河中路258号,杭州,8,2019/1/21,8,240
404,国都商务大厦,凤起路361号,杭州,45,2019/1/21,45,1290
410,标力大厦,延安路528号,杭州,1,2019/1/21,1,30
452,华鸿大厦,天目山路238号,杭州,17,2019/1/21,16,900
456,万安商社,建国中路27号,杭州,1,2019/1/21,1,30
474,杭州孔雀大酒店,小河路697号,杭州,2,2019/1/21,2,90
534,聚龙大厦,杭大路9号,杭州,56,2019/1/21,54,810
622,浙大科技园,西溪路525号,杭州,10,2019/1/21,10,150
641,钱江科技大厦,文三路388号,杭州,16,2019/1/21,16,480
781,茂泰世纪,中河北路83号,杭州,38,2019/1/21,38,1065
868,西湖铭楼,武林路16号,杭州,2,2019/1/21,2,30
888,西湖时代广场,庆春路225号,杭州,9,2019/1/21,9,180
895,天苑大厦,文三路508号,杭州,4,2019/1/21,4,120
929,同方财富大厦,凤起路334号,杭州,24,2019/1/21,23,645
975,西湖大厦,文二路202号,杭州,1,2019/1/21,1,30
1596,运务大楼,体育场路379号,杭州,1,2019/1/21,1,30
1635,浙江供销大楼,庆春路228号,杭州,2,2019/1/21,2,60
1732,南肖埠御景苑,太平门直街216号,杭州,21,2019/1/21,21,1185
1755,浙江利华假日酒店,登云路38号,杭州,2,2019/1/21,2,30
1781,长堤明苑,庆春路9号,杭州,2,2019/1/21,2,60
1809,浙江五矿大厦,中山北路310号,杭州,2,2019/1/21,2,60
1819,耀江发展中心,环城北路305号,杭州,3,2019/1/21,3,90
1874,耀江广厦,延安路126号,杭州,4,2019/1/21,4,60
1932,和平大厦,绍兴路168号,杭州,1,2019/1/21,1,30
2016,银河商务中心,萧绍路999号,杭州,2,2019/1/21,2,60
2045,采荷嘉业大厦,新塘路19号,杭州,21,2019/1/21,21,945
2092,恒励大厦,黄龙路5号,杭州,2,2019/1/21,2,30
2137,嘉德广场,庆春路118号,杭州,31,2019/1/21,31,930
2234,文锦大厦,文三路100号,杭州,2,2019/1/21,2,60
2273,国贸大厦,中河路168号,杭州,1,2019/1/21,1,30
2302,经贸大厦,市心南路181号,杭州,2,2019/1/21,2,60
2384,嘉汇大厦,朝晖路181号,杭州,27,2019/1/21,1,30
2404,浙江物产国际广场,凯旋路445号,杭州,43,2019/1/21,43,1935
2614,建工大厦（杭州）,文三路20号,杭州,6,2019/1/21,6,330
2701,伊世纪城市花园,星光路803号,杭州,14,2019/1/21,14,210
2743,联锦大厦,朝晖路175号,杭州,1,2019/1/21,1,30
3285,双牛大厦,建国北路281号,杭州,3,2019/1/21,3,60
3496,二轻大厦,延安路398号,杭州,1,2019/1/21,1,30
3659,华荣时代大厦,江南大道3880号,杭州,1,2019/1/21,1,15
3704,新延安饭店,直戒坛寺巷20号,杭州,1,2019/1/21,1,30
4046,改革月报大楼,司马渡巷60号,杭州,26,2019/1/21,26,780
4187,华源发展大厦,建国北路639号,杭州,3,2019/1/21,2,60
4208,金泰商务大厦,清泰路571号,杭州,2,2019/1/21,2,60
4252,金苑大厦,金城路1198号,杭州,10,2019/1/21,10,300
4305,交运大厦,秋涛北路176号,杭州,3,2019/1/21,3,135
4363,香榭商务大厦,江城路889号,杭州,19,2019/1/21,19,570
4418,平海国际大厦,中河中路222号,杭州,40,2019/1/21,40,1200
4468,庆春发展大厦,庆春东路66号,杭州,20,2019/1/21,19,870
4488,马可波罗假日酒店,平海路38号,杭州,3,2019/1/21,3,90
4840,南北商务港,温州路71号,杭州,2,2019/1/21,2,30
4895,南都房地产大厦,市心南路175号,杭州,1,2019/1/21,1,15
4908,广茵大厦,凤起东路42号,杭州,2,2019/1/21,2,90
5089,深蓝广场,朝晖路205号,杭州,11,2019/1/21,11,330
5300,裕达大厦,体育场路10号,杭州,5,2019/1/21,5,90
5567,西湖国贸中心,庆春路235号,杭州,20,2019/1/21,18,420
5628,萧宏大厦,滨盛路1777号,杭州,2,2019/1/21,2,60
5867,万安城市花园东苑,建国中路179号,杭州,3,2019/1/21,3,60
5969,锦绣大厦（杭州）,湖墅南路356号,杭州,1,2019/1/21,1,15
5984,吴山铭楼,延安路9号,杭州,25,2019/1/21,5,150
6842,中财发展大厦,中河中路285,杭州,15,2019/1/21,15,450
6926,幸福人家公寓,岳家湾89号,杭州,4,2019/1/21,4,60
6961,银江科技产业园, 益乐路223号,杭州,5,2019/1/21,5,240
7025,中河大厦,庆春路159号,杭州,2,2019/1/21,2,60
7139,LOFT商务楼,文晖路22号,杭州,2,2019/1/21,2,60
7183,百瑞广场商务楼,市心北路199号,杭州,1,2019/1/21,1,15
7379,滨海威陵大厦,江南大道481号,杭州,5,2019/1/21,5,150
7401,中山花园,朝晖路221号,杭州,2,2019/1/21,2,30
7472,置业大厦(杭州),文晖路46号,杭州,16,2019/1/21,1,30
7504,中田大厦,玉古路173号,杭州,37,2019/1/21,37,1110
9781,晶晖商务大厦,中山北路631号,杭州,1,2019/1/21,1,30
9891,东软创业大厦,华星路99号,杭州,17,2019/1/21,2,60
9939,开元加州阳光（杭州）,金城路333号,杭州,64,2019/1/21,32,480
10708,万安西苑,直大方伯42号,杭州,16,2019/1/21,16,450
10748,伟星大厦,文三路252号,杭州,39,2019/1/21,39,1170
10803,伟星世纪大厦,解放路85号,杭州,39,2019/1/21,39,1110
11011,浙江怡泰科技大厦,古翠路76号,杭州,2,2019/1/21,2,60
11093,西城新座,古墩路100号,杭州,4,2019/1/21,4,180
11207,现代国际大厦,天目山路159号,杭州,4,2019/1/21,3,120
11260,星河商务大厦,解放路89号,杭州,2,2019/1/21,2,60
11278,金融大厦_杭州,庆春路182号,杭州,1,2019/1/21,1,30
11318,中恒世纪科技园,南环路4028号,杭州,1,2019/1/21,1,15
11925,昆仑大楼,体育场路580号,杭州,3,2019/1/21,3,45
12462,庆晖公寓,朝晖七区路1号,杭州,4,2019/1/21,4,105
13581,杭州春江花月园区,钱江路158号,杭州,71,2019/1/21,70,2100
15420,天成嘉苑,天城路251号,杭州,8,2019/1/21,8,375
15566,金龙商务楼,庆春路38号,杭州,1,2019/1/21,1,30
15736,文三数码大厦,文三路369号,杭州,54,2019/1/21,54,1620
16035,金峰大厦,中河路281号,杭州,13,2019/1/21,13,390
16038,华都大厦(杭州),庆春路137号,杭州,1,2019/1/21,1,30
16062,中江花园,环城东路313号,杭州,10,2019/1/21,10,150
16156,丽阳国际商务中心,湖墅南路186号,杭州,7,2019/1/21,7,105
16234,杭州凤起时代大厦,新塘路99号,杭州,3,2019/1/21,3,135
16299,三新大厦,新塘路33号,杭州,30,2019/1/21,30,1350
17236,广利大厦,庆春路136号,杭州,38,2019/1/21,38,1140
17448,利兹城市公寓,建国北路611号,杭州,8,2019/1/21,8,240
17653,神州白云大厦,天成路176号,杭州,8,2019/1/21,8,360
17657,铭成商务楼,新华路39号,杭州,3,2019/1/21,3,60
17747,铭和商务楼,新华路9号,杭州,1,2019/1/21,1,15
17874,墨香苑,莫干山路725号,杭州,15,2019/1/21,15,225
17946,宁波大厦,天目山路46号,杭州,3,2019/1/21,3,180
20346,杭州大名空间,龙舌路46号,杭州,40,2019/1/21,40,1200
21032,杭州商业大厦,庆春路149号,杭州,1,2019/1/21,1,30
21228,金棕榈花园,洋泮路28号,杭州,17,2019/1/21,17,510
21320,现代之窗大厦,潮王路2号,杭州,2,2019/1/21,2,60
21620,青云街商务楼,青云街40号,杭州,2,2019/1/21,2,30
22153,中豪凤起广场,凤起东路137号,杭州,25,2019/1/21,19,855
22160,计量大厦,万塘路252号,杭州,7,2019/1/21,7,390
22242,华立金顶苑商务楼,莫干山路499号,杭州,1,2019/1/21,1,30
22265,众安大楼,长庆街31号,杭州,17,2019/1/21,17,480
22905,现代城建大厦（杭州）,中山北路607号,杭州,16,2019/1/21,1,30
22985,易盛大厦,莫干山路187号,杭州,1,2019/1/21,1,30
23072,元通大厦,延安路511号,杭州,15,2019/1/21,15,390
24578,滨江金色家园,富春路16号,杭州,22,2019/1/21,22,660
24712,南肖埠庆和苑,太平门直街88号,杭州,10,2019/1/21,10,435
24776,滨江南肖埠文景苑,凤起东路53号,杭州,27,2019/1/21,27,1410
25015,杭州华门商务中心,教工路123号,杭州,12,2019/1/21,12,360
25259,求是大厦,教工路6号,杭州,5,2019/1/21,2,60
25275,国际花园写字楼,天目山路160号,杭州,13,2019/1/21,12,645
25312,瑞祺大厦,莫干山路425号,杭州,1,2019/1/21,1,15
26312,凯旋门商业中心,庆春路11号,杭州,2,2019/1/21,2,60
26370,杭州花港海航度假酒店,杨公堤1号,杭州,5,2019/1/21,5,165
26732,农发大厦,武林路437号,杭州,1,2019/1/21,1,30
27454,杭州海外海通信大厦,上塘路386号,杭州,1,2019/1/21,1,45
27545,赞成宾馆,梅花碑路8号,杭州,1,2019/1/21,1,30
27555,东方豪生大酒店,艮山西路288号,杭州,2,2019/1/21,2,90
29810,百脑汇科技大厦（杭州）,教工路23号,杭州,28,2019/1/21,24,975
29983,诚信大厦,建国北路236号,杭州,4,2019/1/21,4,105
30131,城建综合大楼,清泰街563号,杭州,3,2019/1/21,3,60
30334,东门大厦,艮山西路78号,杭州,3,2019/1/21,3,135
31792,新城市广场,秋涛北路83号,杭州,20,2019/1/21,20,975
31861,黄龙世纪广场,杭大路1号,杭州,24,2019/1/21,24,720
31895,中针商务楼,秋涛路18号,杭州,5,2019/1/21,5,90
32019,水星阁小区,环城北路173号,杭州,6,2019/1/21,6,90
32097,浙商大博士楼,学院路212号,杭州,4,2019/1/21,4,285
32956,红石中央大厦,潮王路225号,杭州,34,2019/1/21,34,510
33006,湖畔大厦,文一西路172号,杭州,2,2019/1/21,2,60
33319,萧山国际商务中心,金城路458号,杭州,44,2019/1/21,44,660
33376,昌地火炬大厦,文三路259号,杭州,11,2019/1/21,11,540
34301,中兴大厦_杭州,江晖路1757号,杭州,6,2019/1/21,6,180
34328,国都发展大厦,朝晖路182号,杭州,10,2019/1/21,4,120
34571,阳光都市财富中心,环城北路63号,杭州,21,2019/1/21,21,540
34577,华星科技大厦,文三路477号,杭州,9,2019/1/21,9,270
34654,海华广场,建国北路658号,杭州,25,2019/1/21,24,720
34776,清波商厦商务楼,西湖大道259号,杭州,3,2019/1/21,3,60
34980,杭州日报大楼、杭州新闻大厦,体育场路218号,杭州,1,2019/1/21,1,30
35108,泰富写字楼,通惠中路17号,杭州,2,2019/1/21,2,30
35153,太古广场,金城路451号,杭州,2,2019/1/21,2,30
35184,东方威尼斯(杭州),文二路387号,杭州,4,2019/1/21,4,240
35196,吴山商务综合楼,惠民路75号,杭州,1,2019/1/21,1,30
35662,富春大厦,清泰街507号,杭州,1,2019/1/21,1,30
35810,新华坊,凤起路88号,杭州,6,2019/1/21,6,90
36335,华东医药大楼,中山北路439号,杭州,1,2019/1/21,1,30
36446,金衙庄大厦,解放路26号,杭州,1,2019/1/21,1,30
36463,龙禧创业中心,信诚路33号,杭州,3,2019/1/21,3,105
36544,康新花园,文三路569号,杭州,1,2019/1/21,1,30
36579,圣都公寓,德胜路377号,杭州,5,2019/1/21,5,75
36608,世贸广场写字楼,市心中路819号,杭州,2,2019/1/21,2,30
36629,联强大厦,文三路249号 ,杭州,24,2019/1/21,18,540
36644,浙江世界贸易中心写字楼,曙光路122号,杭州,7,2019/1/21,7,105
36725,远洋大厦,庆春路25号,杭州,2,2019/1/21,2,60
36831,萧山天宝大厦,市心中路588号,杭州,2,2019/1/21,2,30
36897,耀江文欣苑,文二路195号,杭州,17,2019/1/21,17,1260
37093,颐高创业大厦,黄姑山路29号,杭州,41,2019/1/21,33,990
37325,钱塘人家,清江路310号,杭州,2,2019/1/21,2,75
37345,三华园都市公寓,凤起路294号,杭州,10,2019/1/21,10,150
37370,铭扬大厦,解放路18号,杭州,1,2019/1/21,1,30
37499,新大集团,江晖路1888号,杭州,4,2019/1/21,3,90
37544,新世纪大厦(杭州）,密渡桥路15号,杭州,8,2019/1/21,8,120
37642,永通信息广场,环城北路141号,杭州,13,2019/1/21,13,300
37680,中融城市花园,天目山路224号,杭州,12,2019/1/21,12,810
37709,中闽大厦（杭州）,郭东园巷8号,杭州,19,2019/1/21,19,570
37777,稻香园耀江高层,潮王路167号,杭州,1,2019/1/21,1,15
37804,元天科技大楼,江南大道3778号,杭州,17,2019/1/21,17,255
38404,良时期货大楼,河东路91号,杭州,2,2019/1/21,2,60
38455,星都嘉苑,建国北路705号,杭州,17,2019/1/21,17,345
38494,雪峰大厦,清泰街346号,杭州,22,2019/1/21,22,660
38550,永泰丰广场,市心北路297号,杭州,24,2019/1/21,24,480
39080,银都大厦,德胜路385号,杭州,39,2019/1/21,39,585
43378,华龙商务大厦,莫干山路110号,杭州,6,2019/1/21,6,90
43504,天汇园(杭州),金城路409号,杭州,4,2019/1/21,4,60
43644,立元大厦,教工路88号,杭州,39,2019/1/21,39,1170
43650,郡亭写字楼,之江路932号,杭州,3,2019/1/21,3,90
43657,郡亭商住楼,之江路932号,杭州,5,2019/1/21,5,150
43663,欧凯假日大酒店,昙花庵路５８号,杭州,1,2019/1/21,1,30
43727,元茂大厦,文二西路1号,杭州,44,2019/1/21,44,2610
43729,凯喜雅大厦,体育场路105号,杭州,29,2019/1/21,28,585
45580,通宝大厦,环城北路10号,杭州,14,2019/1/21,14,420
45873,越都商务大厦,中山北路632号,杭州,7,2019/1/21,1,30
47034,万华国际大酒店,香积寺东路60号,杭州,2,2019/1/21,2,30
47754,金海香滨湾,杭海路878号,杭州,41,2019/1/21,41,615
47927,嘉联华铭座,建国北路586号,杭州,25,2019/1/21,23,690
48325,东软科技大厦,文三路90号,杭州,26,2019/1/21,26,780
48340,之俊大厦_杭州,凤起路96号,杭州,1,2019/1/21,1,30
48822,西港新界,振华路206号,杭州,27,2019/1/21,27,405
49563,凤起商务大厦,凤起路179号,杭州,28,2019/1/21,3,45
50493,元丰钛合国际,朝晖路168号,杭州,48,2019/1/21,48,1440
54482,源越大厦,南环路3720号,杭州,25,2019/1/21,9,135
54954,白马大厦_杭州,密渡桥路8号,杭州,2,2019/1/21,2,30
55161,越界锦和大厦,庆春路87号,杭州,10,2019/1/21,9,150
56603,天科大厦,黄姑山路9号,杭州,1,2019/1/21,1,30
56631,知稼苑,金城路408号,杭州,2,2019/1/21,2,30
56954,银泰百货庆春店,景昙路18号,杭州,23,2019/1/21,23,1035
57177,望江公寓写字楼,望江路93号,杭州,6,2019/1/21,6,240
57462,西湖综合大楼,体育场路596号,杭州,2,2019/1/21,2,90
57470,汇通大厦(杭州),金惠路358号,杭州,4,2019/1/21,4,60
57705,杭州定和大酒店,艮山东路146号,杭州,1,2019/1/21,1,15
58371,西房大厦,学院路151号,杭州,6,2019/1/21,5,150
58458,龙禧BOSS港,南环路4281号,杭州,4,2019/1/21,4,150
58954,联合大厦,紫荆花路2号,杭州,18,2019/1/21,15,225
59016,瑞都嘉里酒店,文辉路356号,杭州,1,2019/1/21,1,30
59858,南苑·发展大厦,世纪大道158号,杭州,2,2019/1/21,2,30
60226,江南九鼎大厦,滨新路599号,杭州,2,2019/1/21,2,60
61456,卓信大厦,南环路3280号,杭州,7,2019/1/21,7,255
62216,裕华大厦AB座,振华路196号,杭州,7,2019/1/21,7,180
62243,东联大厦_杭州,建国路336号,杭州,4,2019/1/21,4,120
62411,萧山商会大厦,金城路185号,杭州,63,2019/1/21,63,945
62417,西鉴枫景,竞舟路21号,杭州,18,2019/1/21,18,270
62475,长城大厦（杭州）,雷霆路60号,杭州,9,2019/1/21,9,195
62480,凤凰城商住楼,秋涛路28号,杭州,4,2019/1/21,4,120
62482,凤凰中心,秋涛路28号,杭州,3,2019/1/21,3,90
62484,爱丁堡假日酒店,秋涛路28号,杭州,2,2019/1/21,2,60
62486,汇智地,南环路4280号,杭州,2,2019/1/21,2,30
62565,今日嘉园,文一路188号,杭州,6,2019/1/21,6,180
62817,浙江中小企业大厦,文三路553号,杭州,2,2019/1/21,2,60
63505,天堂软件园,西斗门路3号,杭州,8,2019/1/21,8,240
63716,美都广场,莫干山路789号,杭州,6,2019/1/21,6,90
63805,拓森科技园,长河路351号,杭州,6,2019/1/21,6,90
63883,滨江万家花城二期,萍水街400号,杭州,57,2019/1/21,55,1395
64127,滨江新城时代广场,凤起东路189号,杭州,24,2019/1/21,24,1110
64625,芳满庭,丰潭路368号,杭州,22,2019/1/21,22,660
64797,丁桥新城广场,紫丁香街151号,杭州,12,2019/1/21,12,180
64957,科达投资大厦,信诚路555号,杭州,46,2019/1/21,45,675
65076,建华PARK电商园,上塘路958号,杭州,15,2019/1/21,15,225
65462,紫金广场,古墩路701号,杭州,6,2019/1/21,6,90
65644,宏程国际大厦,剧院路358号,杭州,6,2019/1/21,6,180
65646,宜家时代大厦,广丰街101号,杭州,13,2019/1/21,13,270
65683,天亿大厦,古墩路819号,杭州,3,2019/1/21,3,45
65685,蓝海时代国际大厦,益乐路39号,杭州,52,2019/1/21,51,1530
65960,新安铭苑,机场里街45号,杭州,14,2019/1/21,14,540
65980,水岸雅苑,尧典桥路122号,杭州,4,2019/1/21,4,180
66456,汽轮国际大厦,庆春东路68号,杭州,5,2019/1/21,4,195
66883,逸天广场,东信大道290号,杭州,3,2019/1/21,2,30
67111,裕都大楼,古墩路11号,杭州,3,2019/1/21,3,105
67113,西溪君逸汇,留下街125号,杭州,4,2019/1/21,1,15
67127,五福天星龙大厦,凤起东路358号,杭州,46,2019/1/21,46,1950
67196,柏悦轩,滨盛路1870号,杭州,1,2019/1/21,1,30
67258,浙江经协发展大厦,白石路258号,杭州,2,2019/1/21,2,30
67329,潮王公寓,潮王路6号,杭州,10,2019/1/21,10,240
67458,在水一方(杭州),富春路118号,杭州,4,2019/1/21,4,60
67855,印象城,古墩路588,杭州,2,2019/1/21,2,60
67926,江枫苑,凤山桥直街13号,杭州,6,2019/1/21,6,90
67934,西溪创意大厦,文二西路718号,杭州,1,2019/1/21,1,60
68311,置地大厦,金城路77号,杭州,37,2019/1/21,37,555
68344,新安嘉苑,古墩路12号,杭州,19,2019/1/21,19,570
68377,通润银座,西湖大道85号,杭州,4,2019/1/21,4,120
68696,滨江金色蓝庭,文一西路18号,杭州,12,2019/1/21,12,360
69409,大浒东苑,双绍路76号,杭州,33,2019/1/21,33,495
69636,三里家园,尧典桥路192号,杭州,29,2019/1/21,29,1290
69648,天成嘉苑北苑,天城路212号,杭州,14,2019/1/21,12,510
69770,金鹭银座,通惠中路688号,杭州,2,2019/1/21,2,30
69776,东方商务会馆,江陵路601号,杭州,6,2019/1/21,5,75
69836,赞成太和广场,钱江路58号,杭州,23,2019/1/21,23,645
69906,神州红树林花园,天城路233号,杭州,11,2019/1/21,11,495
70212,海越大厦,丹枫路788号,杭州,6,2019/1/21,6,120
70216,数娱大厦,文一西路98号,杭州,5,2019/1/21,1,30
70220,盛德欣苑,德胜巷82号,杭州,4,2019/1/21,4,60
70321,电子商务大厦,文三西路118号,杭州,5,2019/1/21,5,240
70629,盾安发展大厦,泰安路239号,杭州,2,2019/1/21,2,30
70719,名城大厦（杭州）,育才北路485号,杭州,3,2019/1/21,3,45
70728,华都兰庭写字楼,文二路138号,杭州,2,2019/1/21,2,60
71109,紫金港商务大厦,古墩路656号,杭州,1,2019/1/21,1,15
72204,丽阳苑,申花路389号,杭州,9,2019/1/21,9,270
72427,金色城品,西湖大道149号,杭州,4,2019/1/21,4,120
72612,西子阳光星城,四号大街15号,杭州,21,2019/1/21,21,315
72687,菲斯泰尔酒店,朝晖路211号,杭州,1,2019/1/21,1,30
72721,文欣大厦杭州,文二路207号,杭州,3,2019/1/21,3,195
73300,和瑞科技广场,长河路475号,杭州,10,2019/1/21,10,300
73310,中茵大厦杭州,文三路453号,杭州,1,2019/1/21,1,30
73436,杭州新传媒产业大厦,新塘路58号,杭州,66,2019/1/21,66,2895
73438,新业大厦（杭州）,新塘路78号,杭州,35,2019/1/21,35,1095
73656,大都文苑风情,下沙3号路3号,杭州,18,2019/1/21,18,270
73927,杭州电子商务产业园,翠栢路7号,杭州,5,2019/1/21,5,270
74680,和顺风尚蓝湾,西浦路1569号,杭州,8,2019/1/21,8,120
74697,尚筑金座,秋涛路296号,杭州,45,2019/1/21,41,1845
75269,滨文苑小区,滨文路481号,杭州,36,2019/1/21,36,1080
75335,恒策西城时代中心,登云路518号,杭州,82,2019/1/21,82,1410
75366,华顺大厦（杭州）,佑圣观路128号,杭州,3,2019/1/21,3,60
75705,美亚大厦,世纪大道1号,杭州,51,2019/1/21,46,690
75748,现代之星,绍兴路337号,杭州,6,2019/1/21,4,120
75783,尊宝大厦,市民街98号,杭州,133,2019/1/21,131,3930
75794,铭鑫大厦,三新路158号,杭州,49,2019/1/21,9,345
76159,杭州朗郡庭园,横桥路105号,杭州,63,2019/1/21,63,2205
76176,八方杰座大厦,临平南大街263号,杭州,14,2019/1/21,11,165
76414,天际大厦,天目山路181号,杭州,6,2019/1/21,6,360
76845,浙江环球中心,西湖文化广场32号,杭州,3,2019/1/21,3,90
